draw,date,winning number 1,2,3,4,5,6,extra number,from last,low,high,odd,even,1-10,11-20,21-30,31-40,41-50,division 1 winners,division 1 prize,division 2 winners,division 2 prize,division 3 winners,division 3 prize,division 4 winners,division 4 prize,division 5 winners,division 5 prize,division 6 winners,division 6 prize,division 7 winners,division 7 prize,turnover,main1,main2,main3,main4,main5,main6,extra
08/001,2008-01-03,5.0,8.0,36.0,39.0,42.0,46.0,14.0,,2.0,4.0,2.0,4.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,737120.0,77.0,51055.0,208.0,4800.0,4431.0,320.0,6672.4,160.0,88400.2,20.0,29726417.0,5,,,,,,
08/002,2008-01-05,3.0,11.0,14.0,32.0,33.0,42.0,15.0,42,3.0,3.0,3.0,3.0,1.0,2.0,0.0,2.0,1.0,1.0,9450240.0,2.0,741705.0,112.0,35315.0,237.0,4800.0,5336.6,320.0,6463.2,160.0,105032.4,20.0,31199203.0,3,,,,,,
08/003,2008-01-08,2.0,9.0,14.0,24.0,40.0,45.0,3.0,14,4.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,5000000.0,5.0,277870.0,92.0,40270.0,241.0,4800.0,5100.8,320.0,7256.0,160.0,95895.8,20.0,29715743.0,2,,,,,,
08/004,2008-01-10,4.0,20.0,36.0,42.0,46.0,47.0,22.0,,2.0,4.0,1.0,5.0,1.0,1.0,0.0,1.0,3.0,1.0,5000000.0,0.0,0.0,65.0,58680.0,155.0,4800.0,3621.0,320.0,5177.8,160.0,68247.0,20.0,26991147.0,4,,,,,,
08/005,2008-01-13,8.0,13.0,18.0,22.0,26.0,42.0,43.0,42,4.0,2.0,1.0,5.0,1.0,2.0,2.0,0.0,1.0,1.0,5000000.0,0.0,0.0,112.0,26425.0,277.0,4800.0,6265.8,320.0,7473.0,160.0,106918.8,20.0,27406779.0,8,,,,,,
08/006,2008-01-15,10.0,11.0,15.0,18.0,37.0,45.0,26.0,18,4.0,2.0,4.0,2.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1322955.0,75.0,47035.0,202.0,4800.0,4607.2,320.0,6773.6,160.0,89831.0,20.0,27807937.0,10,,,,,,
08/007,2008-01-17,8.0,19.0,24.0,35.0,36.0,40.0,23.0,,3.0,3.0,2.0,4.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,698010.0,107.0,34790.0,307.0,4800.0,5574.6,320.0,8483.6,160.0,103871.0,20.0,31332554.0,8,,,,,,
08/008,2008-01-19,4.0,7.0,8.0,20.0,32.0,34.0,24.0,8,4.0,2.0,1.0,5.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,105.0,39460.0,349.0,4800.0,6844.0,320.0,9965.4,160.0,127754.0,20.0,35922877.0,4,,,,,,
08/009,2008-01-22,9.0,16.0,17.0,30.0,33.0,49.0,41.0,,3.0,3.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,11196105.0,3.0,767775.0,189.0,32495.0,680.0,4800.0,10385.8,320.0,12897.6,160.0,190515.2,20.0,54325139.0,9,,,,,,
08/010,2008-01-24,10.0,23.0,26.0,38.0,42.0,46.0,29.0,,2.0,4.0,1.0,5.0,1.0,0.0,2.0,1.0,2.0,1.0,5000000.0,1.0,1210950.0,87.0,37115.0,195.0,4800.0,4935.0,320.0,5465.2,160.0,86284.2,20.0,25901395.0,10,,,,,,
08/011,2008-01-26,13.0,15.0,19.0,22.0,33.0,38.0,39.0,38,4.0,2.0,4.0,2.0,0.0,3.0,1.0,2.0,0.0,2.0,2500000.0,1.0,907980.0,81.0,37365.0,203.8,4800.0,4471.6,320.0,5856.6,160.0,80917.4,20.0,24591480.0,13,,,,,,
08/012,2008-01-29,16.0,22.0,24.0,33.0,43.0,44.0,29.0,"22,33",3.0,3.0,2.0,4.0,0.0,1.0,2.0,1.0,2.0,2.0,26817935.0,4.0,1302985.0,499.0,27850.0,951.0,4800.0,21542.0,320.0,27089.4,160.0,373862.4,20.0,113801194.0,16,,,,,,
08/013,2008-01-31,24.0,32.0,41.0,42.0,48.0,49.0,10.0,24,1.0,5.0,2.0,4.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,2.0,627535.0,76.0,44035.0,170.0,4800.0,4647.0,320.0,5283.0,160.0,75047.2,20.0,25636980.0,24,,,,,,
08/014,2008-02-03,1.0,34.0,36.0,37.0,42.0,46.0,39.0,42,1.0,5.0,2.0,4.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,3.0,560225.0,73.0,61390.0,202.0,4800.0,5015.4,320.0,6642.4,160.0,97926.4,20.0,33164002.0,1,,,,,,
08/015,2008-02-05,3.0,6.0,36.0,40.0,43.0,48.0,8.0,36,2.0,4.0,2.0,4.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,690330.0,122.0,45265.0,458.0,4800.0,7073.4,320.0,12817.2,160.0,136127.4,20.0,45198818.0,3,,,,,,
08/016,2008-02-08,2.0,16.0,30.0,31.0,38.0,48.0,36.0,48,2.0,4.0,1.0,5.0,1.0,1.0,1.0,2.0,1.0,2.0,12177115.0,3.0,899905.0,187.0,38495.0,450.4,4800.0,9294.8,320.0,12610.2,160.0,177695.6,20.0,56455565.0,2,,,,,,
08/017,2008-02-10,7.0,24.0,26.0,30.0,32.0,39.0,47.0,30,2.0,4.0,2.0,4.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,1242475.0,55.0,60240.0,136.0,4800.0,3500.8,320.0,4156.0,160.0,72073.0,20.0,24040492.0,7,,,,,,
08/018,2008-02-12,12.0,23.0,31.0,37.0,40.0,45.0,35.0,,2.0,4.0,4.0,2.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,2.0,839175.0,89.0,50285.0,277.0,4800.0,5481.4,320.0,8442.6,160.0,100749.6,20.0,34713086.0,12,,,,,,
08/019,2008-02-14,4.0,6.0,15.0,29.0,33.0,39.0,18.0,,3.0,3.0,4.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2028880.0,121.0,44710.0,389.0,4800.0,7124.0,320.0,10813.6,160.0,138181.0,20.0,43526451.0,4,,,,,,
08/020,2008-02-16,2.0,5.0,8.0,22.0,29.0,41.0,28.0,29,4.0,2.0,3.0,3.0,3.0,0.0,2.0,0.0,1.0,2.0,10634115.0,13.0,131960.0,253.0,18080.0,973.4,4800.0,11991.2,320.0,19273.2,160.0,195657.2,20.0,51989303.0,2,,,,,,
08/021,2008-02-19,5.0,15.0,29.0,32.0,38.0,39.0,31.0,"5,29",2.0,4.0,4.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,98.0,40750.0,201.4,4800.0,5590.6,320.0,6570.8,160.0,100239.8,20.0,31080937.0,5,,,,,,
08/022,2008-02-21,18.0,22.0,24.0,27.0,30.0,48.0,3.0,,3.0,3.0,1.0,5.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,2.0,833865.0,114.0,39010.0,332.0,4800.0,6595.0,320.0,10106.8,160.0,122252.0,20.0,37007330.0,18,,,,,,
08/023,2008-02-23,2.0,9.0,14.0,24.0,33.0,47.0,48.0,24,4.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1960085.0,120.0,43555.0,296.0,4800.0,7076.2,320.0,8407.0,160.0,135497.8,20.0,40925710.0,2,,,,,,
08/024,2008-02-26,9.0,20.0,23.0,30.0,34.0,39.0,13.0,9,3.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,0.0,1.0,25833460.0,8.0,352180.0,177.0,42445.0,508.0,4800.0,9984.0,320.0,14164.8,160.0,183358.0,20.0,59643386.0,9,,,,,,
08/025,2008-02-28,6.0,8.0,13.0,17.0,35.0,49.0,45.0,,4.0,2.0,4.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,3.0,426150.0,87.0,39185.0,231.0,4800.0,4876.4,320.0,6318.0,160.0,93534.2,20.0,27623765.0,6,,,,,,
08/026,2008-03-02,5.0,7.0,22.0,30.0,32.0,35.0,13.0,35,3.0,3.0,3.0,3.0,2.0,0.0,2.0,2.0,0.0,1.0,9143215.0,2.0,690535.0,110.0,33480.0,322.4,4800.0,7752.8,320.0,9185.6,160.0,136244.8,20.0,33964361.0,5,,,,,,
08/027,2008-03-04,2.0,5.0,13.0,20.0,21.0,49.0,36.0,5,5.0,1.0,4.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,3.0,480200.0,80.0,48020.0,169.4,4800.0,4406.0,320.0,5353.2,160.0,84073.8,20.0,28360951.0,2,,,,,,
08/028,2008-03-06,7.0,12.0,24.0,25.0,39.0,44.0,27.0,,3.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,784790.0,127.0,32955.0,290.0,4800.0,5667.0,320.0,8211.0,160.0,110128.2,20.0,33741829.0,7,,,,,,
08/029,2008-03-08,16.0,25.0,31.0,36.0,38.0,49.0,29.0,25,1.0,5.0,3.0,3.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,5.0,380935.0,110.0,46170.0,298.0,4800.0,5845.0,320.0,8004.4,160.0,111182.2,20.0,38442535.0,16,,,,,,
08/030,2008-03-11,5.0,13.0,15.0,23.0,28.0,40.0,17.0,,4.0,2.0,4.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,7.0,592040.0,320.0,34535.0,690.8,4800.0,16957.2,320.0,20444.6,160.0,310280.2,20.0,89963207.0,5,,,,,,
